# Mongolian 1800 - 18AF
1800	mo-birga	MONGOLIAN BIRGA
1801	mo-ellipsis	MONGOLIAN ELLIPSIS
1802	mo-comma	MONGOLIAN COMMA
1803	mo-period	MONGOLIAN FULL STOP
1804	mo-colon	MONGOLIAN COLON
1805	mo-fourdots	MONGOLIAN FOUR DOTS
1806	mo-softhyphentodo	MONGOLIAN TODO SOFT HYPHEN
1807	mo-syllableboundarymarkersibe	MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER
1808	mo-commamanchu	MONGOLIAN MANCHU COMMA
1809	mo-periodmanchu	MONGOLIAN MANCHU FULL STOP
180A	mo-nirugu	MONGOLIAN NIRUGU
180B	mo-freevariationselectorone	MONGOLIAN FREE VARIATION SELECTOR ONE
180C	mo-freevariationselectortwo	MONGOLIAN FREE VARIATION SELECTOR TWO
180D	mo-freevariationselectorthree	MONGOLIAN FREE VARIATION SELECTOR THREE
180E	mo-vowelseparator	MONGOLIAN VOWEL SEPARATOR
1810	mo-zero	MONGOLIAN DIGIT ZERO
1811	mo-one	MONGOLIAN DIGIT ONE
1812	mo-two	MONGOLIAN DIGIT TWO
1813	mo-three	MONGOLIAN DIGIT THREE
1814	mo-four	MONGOLIAN DIGIT FOUR
1815	mo-five	MONGOLIAN DIGIT FIVE
1816	mo-six	MONGOLIAN DIGIT SIX
1817	mo-seven	MONGOLIAN DIGIT SEVEN
1818	mo-eight	MONGOLIAN DIGIT EIGHT
1819	mo-nine	MONGOLIAN DIGIT NINE
1820	mo-a	MONGOLIAN LETTER A
1821	mo-e	MONGOLIAN LETTER E
1822	mo-i	MONGOLIAN LETTER I
1823	mo-o	MONGOLIAN LETTER O
1824	mo-u	MONGOLIAN LETTER U
1825	mo-oe	MONGOLIAN LETTER OE
1826	mo-ue	MONGOLIAN LETTER UE
1827	mo-ee	MONGOLIAN LETTER EE
1828	mo-na	MONGOLIAN LETTER NA
1829	mo-ang	MONGOLIAN LETTER ANG
182A	mo-ba	MONGOLIAN LETTER BA
182B	mo-pa	MONGOLIAN LETTER PA
182C	mo-qa	MONGOLIAN LETTER QA
182D	mo-ga	MONGOLIAN LETTER GA
182E	mo-ma	MONGOLIAN LETTER MA
182F	mo-la	MONGOLIAN LETTER LA
1830	mo-sa	MONGOLIAN LETTER SA
1831	mo-sha	MONGOLIAN LETTER SHA
1832	mo-ta	MONGOLIAN LETTER TA
1833	mo-da	MONGOLIAN LETTER DA
1834	mo-cha	MONGOLIAN LETTER CHA
1835	mo-ja	MONGOLIAN LETTER JA
1836	mo-ya	MONGOLIAN LETTER YA
1837	mo-ra	MONGOLIAN LETTER RA
1838	mo-wa	MONGOLIAN LETTER WA
1839	mo-fa	MONGOLIAN LETTER FA
183A	mo-ka	MONGOLIAN LETTER KA
183B	mo-kha	MONGOLIAN LETTER KHA
183C	mo-tsa	MONGOLIAN LETTER TSA
183D	mo-za	MONGOLIAN LETTER ZA
183E	mo-haa	MONGOLIAN LETTER HAA
183F	mo-zra	MONGOLIAN LETTER ZRA
1840	mo-lha	MONGOLIAN LETTER LHA
1841	mo-zhi	MONGOLIAN LETTER ZHI
1842	mo-chi	MONGOLIAN LETTER CHI
1843	mo-longvowelsigntodo	MONGOLIAN LETTER TODO LONG VOWEL SIGN
1844	mo-etodo	MONGOLIAN LETTER TODO E
