# Arabic Presentation Forms-B FE70 - FEFF
FE70	ar-fathatan.isol	ARABIC FATHATAN ISOLATED FORM
FE71	ar-withfathatanabovekashida	ARABIC TATWEEL WITH FATHATAN ABOVE
FE72	ar-dammatan.isol	ARABIC DAMMATAN ISOLATED FORM
FE73	ar-tailfragment	ARABIC TAIL FRAGMENT
FE74	ar-kasratan.isol	ARABIC KASRATAN ISOLATED FORM
FE76	ar-fatha.isol	ARABIC FATHA ISOLATED FORM
FE77	ar-fathamedialform	ARABIC FATHA MEDIAL FORM
FE78	ar-damma.isol	ARABIC DAMMA ISOLATED FORM
FE79	ar-dammamedialform	ARABIC DAMMA MEDIAL FORM
FE7A	ar-kasra.isol	ARABIC KASRA ISOLATED FORM
FE7B	ar-kasramedialform	ARABIC KASRA MEDIAL FORM
FE7C	ar-shadda.isol	ARABIC SHADDA ISOLATED FORM
FE7D	ar-shaddamedialform	ARABIC SHADDA MEDIAL FORM
FE7E	ar-sukun.isol	ARABIC SUKUN ISOLATED FORM
FE7F	ar-sukunmedialform	ARABIC SUKUN MEDIAL FORM
FE80	ar-hamza.isol	ARABIC LETTER HAMZA ISOLATED FORM
FE81	ar-alefmadda.isol	ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
FE82	ar-finalformalefmadda	ARABIC LETTER ALEF WITH MADDA ABOVE FINAL FORM
FE83	ar-alefhamza.isol	ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM
FE84	ar-finalformalefhamza	ARABIC LETTER ALEF WITH HAMZA ABOVE FINAL FORM
FE85	ar-wawhamza.isol	ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
FE86	ar-finalformwawhamza	ARABIC LETTER WAW WITH HAMZA ABOVE FINAL FORM
FE87	ar-alefhamzabelow.isol	ARABIC LETTER ALEF WITH HAMZA BELOW ISOLATED FORM
FE88	ar-finalformalefhamzabelow	ARABIC LETTER ALEF WITH HAMZA BELOW FINAL FORM
